账户ID,账户名称,公司名称,账户状态,MEG账户一级行业（新）,MEG账户二级行业（新）,运营单位账户属性,发证机关所在市,资质客户ID,原生首次消费日,账户首次消费日,账户最近消费日,SF对应二级账号,管理员,订单行,总消费20231105,总消费20231106,总消费20231107,总消费20231108,总消费20231109,总消费20231110,总消费20231111,总消费20231112,品牌展示总消费20231105,品牌展示总消费20231106,品牌展示总消费20231107,品牌展示总消费20231108,品牌展示总消费20231109,品牌展示总消费20231110,品牌展示总消费20231111,品牌展示总消费20231112,原生自主投放总消费20231105,原生自主投放总消费20231106,原生自主投放总消费20231107,原生自主投放总消费20231108,原生自主投放总消费20231109,原生自主投放总消费20231110,原生自主投放总消费20231111,原生自主投放总消费20231112,凤巢优惠券消费20231105,凤巢优惠券消费20231106,凤巢优惠券消费20231107,凤巢优惠券消费20231108,凤巢优惠券消费20231109,凤巢优惠券消费20231110,凤巢优惠券消费20231111,凤巢优惠券消费20231112,原生CPC优惠券消费20231105,原生CPC优惠券消费20231106,原生CPC优惠券消费20231107,原生CPC优惠券消费20231108,原生CPC优惠券消费20231109,原生CPC优惠券消费20231110,原生CPC优惠券消费20231111,原生CPC优惠券消费20231112,原生CPM优惠券消费20231105,原生CPM优惠券消费20231106,原生CPM优惠券消费20231107,原生CPM优惠券消费20231108,原生CPM优惠券消费20231109,原生CPM优惠券消费20231110,原生CPM优惠券消费20231111,原生CPM优惠券消费20231112,聚屏平台合约消费20231105,聚屏平台合约消费20231106,聚屏平台合约消费20231107,聚屏平台合约消费20231108,聚屏平台合约消费20231109,聚屏平台合约消费20231110,聚屏平台合约消费20231111,聚屏平台合约消费20231112,手百开屏消费20231105,手百开屏消费20231106,手百开屏消费20231107,手百开屏消费20231108,手百开屏消费20231109,手百开屏消费20231110,手百开屏消费20231111,手百开屏消费20231112,度星选-软植互选-消费20231105,度星选-软植互选-消费20231106,度星选-软植互选-消费20231107,度星选-软植互选-消费20231108,度星选-软植互选-消费20231109,度星选-软植互选-消费20231110,度星选-软植互选-消费20231111,度星选-软植互选-消费20231112,闭环电商-原生-消费20231105,闭环电商-原生-消费20231106,闭环电商-原生-消费20231107,闭环电商-原生-消费20231108,闭环电商-原生-消费20231109,闭环电商-原生-消费20231110,闭环电商-原生-消费20231111,闭环电商-原生-消费20231112
31215107,网宝网络,厦门网宝网络服务有限公司,用户正常生效,网络服务,云服务,首次上线新客户,厦门市,428974694,"",2020-09-08,2023-11-12,xm新开19,12t1013,0,5.65,6.08,5.33,8.20,4.29,9.70,1.57,10.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49592237,BD易而购食品60,德化县易而购百货商行,用户帐面为零,直营电商,食品饮料,一户多开,泉州市,429639368,"",2023-08-03,2023-11-12,xm电商02,xmds01，xmfq08,0,1233.60,715.65,1214.80,1070.28,850.62,403.36,679.17,224.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1233.60,715.65,1214.80,1070.28,850.62,403.36,679.17,224.62
45094824,XGSP-7,厦门浮鲸网络科技有限公司,用户帐面为零,文娱传媒,视频平台,一户多开,厦门市,429330003,2023-06-09,2023-06-09,2023-11-12,xm渠道016,xmfq07,0,1774.71,1089.68,1551.82,2295.48,5008.88,8000.98,5062.60,4180.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1774.71,1089.68,1551.82,2295.48,5008.88,8000.98,5062.60,4180.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49704013,华祥苑茶业02,华祥苑茶业股份有限公司,用户正常生效,招商加盟,招商-其他,一户多开,厦门市,50967317,2023-08-30,2023-08-11,2023-11-12,xmKOL03,xmk03,0,326.19,122.99,317.35,31.96,516.84,185.18,457.86,344.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.06,0.59,71.21,6.38,13.39,27.99,5.12,29.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
51134125,qz录祥楚kjds02,德化县录祥楚教育咨询服务部,用户正常生效,网络服务,网络营销,一户多开,泉州市,429606932,"",2023-10-27,2023-11-12,旺旺112,xmfq05,0,70.38,186.36,30.21,190.42,146.55,67.13,93.23,97.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
51066970,zz花恋思明十八d40,厦门花恋蝶商务咨询有限公司思明第十八分公司,用户正常生效,医疗器械,一类医疗器械,一户多开,厦门市,429698651,"",2023-10-23,2023-11-12,clx01,xmfq01,0,38.77,115.86,507.85,372.68,88.99,802.15,285.10,332.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48515493,湖里思藏zb01,厦门市湖里区思藏珠宝经营部,用户正常生效,箱包服饰,珠宝饰品,一户多开,厦门市,429651534,"",2023-06-13,2023-11-12,xm渠道029,xmfq07,0,72.96,101.83,84.04,133.38,68.95,34.81,65.83,8.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
51266748,zz花恋思明十九e17,厦门花恋蝶商务咨询有限公司思明第十九分公司,用户正常生效,医疗器械,一类医疗器械,一户多开,厦门市,429698650,"",2023-11-07,2023-11-12,clx01,xmfq01,0,0.00,0.00,220.52,1197.67,531.85,1242.18,150.03,268.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50569407,泉成机械1,福建泉成机械有限公司,用户正常生效,机械设备,建筑工程机械,老户新开,泉州市,60629544,"",2023-10-30,2023-11-12,qz新开08,12t085,0,201.84,204.16,195.83,200.01,202.74,204.54,200.81,201.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50225746,xm惠复琳五分二跳yun11,重庆惠复琳健康咨询有限公司厦门湖里第五分公司,用户正常生效,医疗器械,一类医疗器械,一户多开,厦门市,429668999,"",2023-09-12,2023-11-09,clx21,xmfq04,0,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50436233,BD二类电商度娘食品579,德化县度娘精选百货商行,用户帐面为零,直营电商,食品饮料,一户多开,泉州市,429639198,"",2023-09-26,2023-11-09,xm电商03,xmds01，xmfq08,0,891.55,582.88,582.79,408.11,193.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,891.55,582.88,582.79,408.11,193.19,0.00,0.00,0.00
42141207,pinzhuan-厦门海辰储能科技股份,厦门海辰储能科技股份有限公司,用户正常生效,化工及能源,能源,首次上线新客户,厦门市,429527023,"",2023-02-28,2023-11-12,xm品牌05,xmpinzhuan05,0,774.22,774.22,774.22,774.22,774.22,774.22,774.22,774.22,774.22,774.22,774.22,774.22,774.22,774.22,774.22,774.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50157898,律师-潘律3,潘乐,用户帐面为零,商务服务,法律服务,一户多开,"",429667122,"",2023-09-05,2023-11-08,旺旺111,xmfq05,0,0.00,824.97,388.78,1286.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49379549,xm珖辉八24,厦门珖辉汶机械设备有限公司,用户正常生效,机械设备,通用机械设备,一户多开,厦门市,429136159,"",2023-07-27,2023-11-12,xm电商10,xmds01，xmfq08,0,37.50,47.66,36.59,109.83,34.15,45.84,86.73,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
47866702,南宁创嘉迪-4,广西南宁创嘉迪信息技术有限公司厦门分公司,用户正常生效,文娱传媒,小说阅读,一户多开,厦门市,429632182,2023-05-26,2023-05-26,2023-11-05,旺旺111,xmfq05,0,5.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45252347,巨量XM174,漳州市龙文区巨量技术咨询服务部,用户正常生效,机械设备,通用机械设备,一户多开,漳州市,429495996,2023-11-10,2023-03-10,2023-11-12,xm渠道017,xmfq07，xmfq09,0,0.00,22.41,60.92,51.67,40.37,1.17,0.70,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.17,0.70,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50351236,xm-童新祥-A13,童新祥,用户正常生效,商务服务,法律服务,一户多开,"",429655112,"",2023-09-13,2023-11-11,xm渠道028,xmfq07，xmkuang09,0,0.00,533.26,696.98,877.27,396.46,300.38,189.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
